Item,Price
3 McDonald's Mighty Wings (5 pack),3 McDonald's Mighty Wings (5 pack)
McDonald's Apple Slices,McDonald's Apple Slices
McDonald's Large Fries,McDonald's Large Fries
McDonald's Medium Fries,McDonald's Medium Fries
McDonald's Mighty Wings (3 pack),McDonald's Mighty Wings (3 pack)
McDonald's Side Salad,McDonald's Side Salad
McDonald's Small Fries,McDonald's Small Fries
Blueberry Pomegranate Smoothie,Blueberry Pomegranate Smoothie
Blueberry Pomegranate Smoothie,Blueberry Pomegranate Smoothie
Blueberry Pomegranate Smoothie,Blueberry Pomegranate Smoothie
Chocolate Shake,Chocolate Shake
Chocolate Shake,Chocolate Shake
Chocolate Shake,Chocolate Shake
Dulce de Leche Shake,Dulce de Leche Shake
Dulce de Leche Shake,Dulce de Leche Shake
Dulce de Leche Shake,Dulce de Leche Shake
Mango Pineapple Smoothie,Mango Pineapple Smoothie
Mango Pineapple Smoothie,Mango Pineapple Smoothie
Mango Pineapple Smoothie,Mango Pineapple Smoothie
Strawberry Banana Smoothie,Strawberry Banana Smoothie
Strawberry Banana Smoothie,Strawberry Banana Smoothie
Strawberry Banana Smoothie,Strawberry Banana Smoothie
Strawberry Shake,Strawberry Shake
Strawberry Shake,Strawberry Shake
Strawberry Shake,Strawberry Shake
Vanilla Shake,Vanilla Shake
Vanilla Shake,Vanilla Shake
Vanilla Shake,Vanilla Shake
